0.000000e+00 3.125000e-02 0.000000e+00 3.125000e-02
6.250000e-02 -6.250000e-02 7.654042e-18 6.250000e-02
1.250000e-01 6.250000e-02 -1.530808e-17 6.250000e-02
1.875000e-01 -6.250000e-02 2.296213e-17 6.250000e-02
2.500000e-01 6.250000e-02 -3.061617e-17 6.250000e-02
3.125000e-01 -6.250000e-02 3.827021e-17 6.250000e-02
3.750000e-01 6.250000e-02 -4.592425e-17 6.250000e-02
4.375000e-01 -6.250000e-02 5.357830e-17 6.250000e-02
5.000000e-01 6.250000e-02 -6.123234e-17 6.250000e-02
5.625000e-01 -6.250000e-02 6.888638e-17 6.250000e-02
6.250000e-01 6.250000e-02 -7.654042e-17 6.250000e-02
6.875000e-01 -6.250000e-02 3.062391e-16 6.250000e-02
7.500000e-01 6.250000e-02 -9.184851e-17 6.250000e-02
8.125000e-01 -6.250000e-02 -1.225421e-16 6.250000e-02
8.750000e-01 6.250000e-02 -1.071566e-16 6.250000e-02
9.375000e-01 -6.250000e-02 3.368552e-16 6.250000e-02
1.000000e+00 3.125000e-02 -1.224647e-16 3.125000e-02
