-2.000000 0.111111 0.111111
-1.993985 0.111707 0.111708
-1.987970 0.112308 0.112309
-1.981955 0.112914 0.112915
-1.975940 0.113524 0.113526
-1.969925 0.114140 0.114141
-1.963910 0.114759 0.114761
-1.957895 0.115384 0.115387
-1.951880 0.116014 0.116016
-1.945865 0.116648 0.116651
-1.939850 0.117288 0.117290
-1.933835 0.117932 0.117935
-1.927820 0.118582 0.118583
-1.921805 0.119237 0.119237
-1.915789 0.119897 0.119896
-1.909774 0.120562 0.120559
-1.903759 0.121233 0.121227
-1.897744 0.121909 0.121900
-1.891729 0.122590 0.122577
-1.885714 0.123277 0.123260
-1.879699 0.123969 0.123947
-1.873684 0.124667 0.124638
-1.867669 0.125370 0.125335
-1.861654 0.126079 0.126037
-1.855639 0.126794 0.126743
-1.849624 0.127515 0.127454
-1.843609 0.128241 0.128169
-1.837594 0.128974 0.128890
-1.831579 0.129712 0.129615
-1.825564 0.130457 0.130348
-1.819549 0.131207 0.131088
-1.813534 0.131964 0.131836
-1.807519 0.132727 0.132592
-1.801504 0.133497 0.133356
-1.795489 0.134272 0.134128
-1.789474 0.135054 0.134907
-1.783459 0.135843 0.135695
-1.777444 0.136638 0.136490
-1.771429 0.137440 0.137293
-1.765414 0.138248 0.138104
-1.759398 0.139063 0.138923
-1.753383 0.139885 0.139750
-1.747368 0.140714 0.140585
-1.741353 0.141550 0.141427
-1.735338 0.142393 0.142278
-1.729323 0.143244 0.143136
-1.723308 0.144101 0.144002
-1.717293 0.144966 0.144876
-1.711278 0.145838 0.145757
-1.705263 0.146717 0.146647
-1.699248 0.147604 0.147545
-1.693233 0.148498 0.148450
-1.687218 0.149401 0.149363
-1.681203 0.150311 0.150284
-1.675188 0.151229 0.151213
-1.669173 0.152154 0.152150
-1.663158 0.153088 0.153094
-1.657143 0.154030 0.154047
-1.651128 0.154980 0.155007
-1.645113 0.155938 0.155975
-1.639098 0.156905 0.156951
-1.633083 0.157880 0.157935
-1.627068 0.158864 0.158927
-1.621053 0.159856 0.159927
-1.615038 0.160857 0.160934
-1.609023 0.161867 0.161950
-1.603008 0.162886 0.162973
-1.596992 0.163914 0.164004
-1.590977 0.164951 0.165043
-1.584962 0.165997 0.166089
-1.578947 0.167052 0.167144
-1.572932 0.168117 0.168207
-1.566917 0.169192 0.169277
-1.560902 0.170276 0.170355
-1.554887 0.171369 0.171441
-1.548872 0.172473 0.172535
-1.542857 0.173587 0.173637
-1.536842 0.174710 0.174746
-1.530827 0.175844 0.175864
-1.524812 0.176988 0.176989
-1.518797 0.178142 0.178123
-1.512782 0.179307 0.179264
-1.506767 0.180483 0.180413
-1.500752 0.181669 0.181569
-1.494737 0.182866 0.182737
-1.488722 0.184074 0.183918
-1.482707 0.185294 0.185115
-1.476692 0.186524 0.186326
-1.470677 0.187766 0.187551
-1.464662 0.189019 0.188792
-1.458647 0.190284 0.190046
-1.452632 0.191561 0.191316
-1.446617 0.192849 0.192600
-1.440602 0.194150 0.193899
-1.434586 0.195462 0.195212
-1.428571 0.196787 0.196540
-1.422556 0.198124 0.197882
-1.416541 0.199474 0.199239
-1.410526 0.200837 0.200611
-1.404511 0.202212 0.201998
-1.398496 0.203600 0.203398
-1.392481 0.205002 0.204814
-1.386466 0.206416 0.206244
-1.380451 0.207844 0.207689
-1.374436 0.209286 0.209148
-1.368421 0.210741 0.210622
-1.362406 0.212211 0.212111
-1.356391 0.213694 0.213614
-1.350376 0.215191 0.215132
-1.344361 0.216703 0.216665
-1.338346 0.218229 0.218212
-1.332331 0.219770 0.219773
-1.326316 0.221326 0.221350
-1.320301 0.222896 0.222941
-1.314286 0.224482 0.224546
-1.308271 0.226084 0.226166
-1.302256 0.227700 0.227801
-1.296241 0.229333 0.229451
-1.290226 0.230981 0.231115
-1.284211 0.232645 0.232793
-1.278195 0.234326 0.234486
-1.272180 0.236022 0.236194
-1.266165 0.237736 0.237917
-1.260150 0.239466 0.239654
-1.254135 0.241213 0.241405
-1.248120 0.242977 0.243172
-1.242105 0.244759 0.244952
-1.236090 0.246558 0.246748
-1.230075 0.248375 0.248558
-1.224060 0.250210 0.250383
-1.218045 0.252063 0.252222
-1.212030 0.253934 0.254076
-1.206015 0.255824 0.255945
-1.200000 0.257732 0.257828
-1.193985 0.259659 0.259726
-1.187970 0.261606 0.261638
-1.181955 0.263572 0.263565
-1.175940 0.265557 0.265507
-1.169925 0.267562 0.267463
-1.163910 0.269587 0.269435
-1.157895 0.271633 0.271432
-1.151880 0.273699 0.273455
-1.145865 0.275785 0.275505
-1.139850 0.277892 0.277581
-1.133835 0.280021 0.279684
-1.127820 0.282171 0.281814
-1.121805 0.284342 0.283970
-1.115789 0.286535 0.286152
-1.109774 0.288750 0.288361
-1.103759 0.290988 0.290597
-1.097744 0.293248 0.292859
-1.091729 0.295530 0.295147
-1.085714 0.297836 0.297462
-1.079699 0.300165 0.299804
-1.073684 0.302517 0.302172
-1.067669 0.304893 0.304567
-1.061654 0.307293 0.306988
-1.055639 0.309718 0.309436
-1.049624 0.312166 0.311910
-1.043609 0.314640 0.314410
-1.037594 0.317138 0.316938
-1.031579 0.319661 0.319491
-1.025564 0.322210 0.322072
-1.019549 0.324785 0.324678
-1.013534 0.327386 0.327312
-1.007519 0.330012 0.329971
-1.001504 0.332666 0.332658
-0.995489 0.335346 0.335370
-0.989474 0.338053 0.338110
-0.983459 0.340787 0.340876
-0.977444 0.343549 0.343668
-0.971429 0.346339 0.346487
-0.965414 0.349156 0.349332
-0.959398 0.352002 0.352204
-0.953383 0.354877 0.355103
-0.947368 0.357780 0.358028
-0.941353 0.360712 0.360979
-0.935338 0.363674 0.363957
-0.929323 0.366665 0.366962
-0.923308 0.369686 0.369993
-0.917293 0.372737 0.373050
-0.911278 0.375819 0.376134
-0.905263 0.378931 0.379245
-0.899248 0.382074 0.382382
-0.893233 0.385248 0.385545
-0.887218 0.388453 0.388735
-0.881203 0.391690 0.391952
-0.875188 0.394959 0.395195
-0.869173 0.398260 0.398465
-0.863158 0.401593 0.401761
-0.857143 0.404959 0.405084
-0.851128 0.408357 0.408433
-0.845113 0.411788 0.411809
-0.839098 0.415253 0.415211
-0.833083 0.418751 0.418640
-0.827068 0.422283 0.422103
-0.821053 0.425848 0.425606
-0.815038 0.429448 0.429150
-0.809023 0.433081 0.432735
-0.803008 0.436749 0.436360
-0.796992 0.440452 0.440026
-0.790977 0.444190 0.443732
-0.784962 0.447962 0.447479
-0.778947 0.451770 0.451266
-0.772932 0.455612 0.455094
-0.766917 0.459490 0.458963
-0.760902 0.463404 0.462872
-0.754887 0.467353 0.466822
-0.748872 0.471338 0.470812
-0.742857 0.475359 0.474843
-0.736842 0.479416 0.478914
-0.730827 0.483508 0.483026
-0.724812 0.487637 0.487179
